RecordID,NPA,NXX,LATA,RateCenterName ,WireCenterName,WireCenterCity,State,ZipCode1,ZipCode2,ZipCode3,FIPSCode ,Latitude,Longitude
125,213,373,730,LACZ 7,LONG BEACH-LAKEWOOD,LOS ANGELES,CA,90017,90071,90014,06037,34.0514,-118.2613
126,213,374,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
127,213,375,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90017,90071,90015,06037,34.0521,-118.2668
128,213,376,730,LACZ 11,LOS ANGELES,LOS ANGELES,CA,90018,90006,90007,06037,34.0343,-118.3093
129,213,377,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
130,213,378,730,LACZ 10,LOS ANGELES,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
131,213,379,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
132,213,380,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
133,213,381,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
134,213,382,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
135,213,383,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
136,213,384,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
137,213,385,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
138,213,386,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
139,213,387,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
140,213,388,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
141,213,389,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
142,213,394,730,LACZ 1,LONG BEACH-LAKEWOOD,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
143,213,395,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
144,213,397,730,LACZ 9,LOS ANGELES,LOS ANGELES,CA,90003,90044,90047,06037,33.9767,-118.2930
145,213,398,730,LACZ 13,LOS ANGELES,LOS ANGELES,CA,90036,90019,90038,06037,34.0662,-118.3420
146,213,401,730,LACZ 10,LOS ANGELES,LOS ANGELES,CA,90014,90071,90017,06037,34.0462,-118.2568
147,213,402,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
148,213,403,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
149,213,404,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
150,213,405,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
151,213,406,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
152,213,408,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
153,213,409,730,LACZ 1,IRVINE,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
154,213,410,730,LACZ 1,IRVINE,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
155,213,412,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
156,213,413,730,LACZ 10,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
157,213,414,730,LACZ 7,LOS ANGELES,LOS ANGELES,CA,90015,90079,90014,06037,34.0333,-118.2650
158,213,415,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
159,213,416,730,LACZ 1,ANAHEIM,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
160,213,417,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
161,213,418,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
162,213,419,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
163,213,421,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
164,213,423,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
165,213,425,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
166,213,426,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
167,213,427,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
168,213,428,730,LACZ 1,IRVINE,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
169,213,429,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
170,213,430,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
171,213,431,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90015,90079,90014,06037,34.0333,-118.2650
172,213,432,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90057,90006,90005,06037,34.0587,-118.2822
